Destination,Hotel Name,Rate Per Night (INR)
Mumbai,Taj Mahal Palace,"18,000"
Mumbai,The St. Regis Mumbai,"14,500"
Mumbai,Sofitel Mumbai BKC,"13,000"
Mumbai,ITC Maratha,"12,000"
Delhi,"The Leela Palace, New Delhi","19,500"
Delhi,Taj Mahal Hotel,"16,000"
Delhi,Eros Hotel,"10,500"
Delhi,Radisson Blu Plaza Delhi,"8,500"
Bengaluru,The Oberoi Bengaluru,"17,000"
Bengaluru,JW Marriott Hotel Bengaluru,"15,000"
Bengaluru,Hilton Bangalore,"12,000"
Bengaluru,ITC Gardenia,"11,500"
Hyderabad,Taj Krishna,"14,800"
Hyderabad,Park Hyatt Hyderabad,"13,500"
Hyderabad,ITC Kohenur,"12,000"
Hyderabad,Novotel Hyderabad Airport,"9,000"
Chennai,ITC Grand Chola,"13,800"
Chennai,Taj Coromandel,"14,500"
Chennai,Hyatt Regency Chennai,"12,000"
Chennai,Radisson Blu Chennai,"9,500"
Kolkata,Taj Bengal Kolkata,"15,000"
Kolkata,The Lalit Great Eastern,"12,500"
Kolkata,ITC Sonar,"13,000"
Kolkata,Swissotel Kolkata,"8,500"
Pune,JW Marriott Pune,"12,500"
Pune,Hyatt Pune,"9,500"
Pune,Conrad Pune,"14,000"
Pune,Marriott Suites Pune,"12,000"
Ahmedabad,Hyatt Regency Ahmedabad,"9,000"
Ahmedabad,Courtyard by Marriott,"8,500"
Ahmedabad,Novotel Ahmedabad,"7,500"
Ahmedabad,Lemon Tree Premier Ahmedabad,"6,500"
Surat,Courtyard by Marriott Surat,"10,500"
Surat,Hotel Central Excellency,"5,000"
Surat,The Gateway Hotel Athwalines,"8,000"
Surat,Ginger Surat,"4,500"
Jaipur,Rambagh Palace,"24,000"
Jaipur,Fairmont Jaipur,"15,000"
Jaipur,ITC Rajputana,"14,000"
Jaipur,Jaipur Marriott Hotel,"12,500"
Lucknow,Vivanta Lucknow,"9,000"
Lucknow,Hyatt Regency Lucknow,"8,500"
Lucknow,Novotel Lucknow Gomti Nagar,"7,500"
Lucknow,Hotel Clarks Awadh,"6,000"
Kanpur,The Landmark Hotel Kanpur,"7,500"
Kanpur,Regenta Central the Crystal,"6,500"
Kanpur,Best Western Bliss,"5,800"
Kanpur,Hotel Kanha Residency Kanpur,"4,500"
Indore,Radisson Blu Indore,"12,000"
Indore,Marriott Indore,"10,500"
Indore,Sayaji Indore,"9,000"
Indore,Lemon Tree Indore,"7,000"
Patna,Hotel Maurya,"8,500"
Patna,Lemon Tree Premier Patna,"7,500"
Patna,Panache Hotel Patna,"6,500"
Patna,Patliputra Exotica Hotel,"5,500"
Kochi,Grand Hyatt Kochi Bolgatty,"15,500"
Kochi,Le Meridien Kochi,"13,000"
Kochi,Crowne Plaza Kochi,"12,000"
Kochi,Trident Cochin,"8,500"
